Feature_1,Feature_2,cluster
0.0914151239263294,-0.31199523187214867,0
0.22513535874193716,0.28216941491736414,0
-0.5853105565961509,-0.3906538520586954,0
1.0383521209501856,0.9051272222969253,1
0.9949596527487133,0.744086821727926,1
1.2638193924588486,1.2333375806286844,1
2.019809209268365,2.33817236209041,2
2.140252802675614,1.7422122611350286,2
2.1106252352247497,1.7123352197513002,2
3.263535090392182,2.985022226704124,3
2.9445412909364217,2.7957211366788175,3
3.366762401602209,2.9536411553793593,3
3.8715016533510678,3.894359934853531,4
4.159692755666004,4.109633219309224,4
4.123819783478797,4.1292463009023646,4
5.642494280261138,4.878075495084615,5
4.8463271812785385,4.755868181525637,5
5.1847938267726486,5.338691687816268,5
5.965815762703538,5.747953056911242,6
5.752655635292628,6.19517783634741,6
6.2229762513610325,6.162946280491559,6
6.800347087813392,7.069648396920016,7
7.035005742742219,7.065606579018704,7
7.261428633384457,7.067078664632405,7
8.203674068921568,8.020273720846667,8
8.086735819606995,8.189386467751563,8
7.5628532540433,7.90409863509281,8
8.858888203712162,8.808336645526998,9
8.917457324631995,9.448482393370318,9
8.740250665292027,9.290483506377445,9
9.49513906851526,9.899534491004268,10
10.048825919531502,10.175866699407784,10
10.213367973937856,10.238004170559977,10
10.89538247832547,10.86129446220063,11
11.257392764377146,10.942608702535516,11
10.617294102998624,10.660013835798956,11
11.724164314199516,12.149148223216129,12
12.04272772082117,12.20714560622033,12
11.87182420609904,12.047561907323015,12
13.187677118190201,12.907196038083928,13
13.137032571267223,12.801422217680004,13
12.891083846030478,12.8854786318005,13
13.641248106323289,14.146091744235674,14
13.859179297939184,14.003748235618307,14
14.144223997671773,14.133959352808983,14
15.199615532691835,14.970454354647172,15
14.873010506386754,14.97608453672808,15
14.49379966981259,14.565866258273074,15
15.60319011629368,15.700825951719555,16
16.11993226801703,15.728356283391982,16
15.886551233788182,16.389768489335818,16
16.893120808681573,17.221254670540127,17
16.719914695997037,16.93836873263971,17
16.714993383526824,16.89829007722983,17
18.25209244123722,17.481803873042296,18
18.13032709306376,18.071320680699685,18
17.82175501329096,17.566182643683465,18
19.02163885231416,18.84115218728086,19
19.069802863406412,19.006555643657034,19
19.480533667396276,18.928193311758093,19
19.69295075221344,20.053782690486894,20
20.06599900519153,20.40775627257213,20
20.250533373774374,20.107061317744854,20
21.43899086736587,20.643371083703144,21
20.808074540175074,20.722027217578344,21
20.883057059053268,20.58699415573311,21
22.190545284044322,21.933333190870368,22
21.5587581116492,21.695326275637736,22
22.09405415423506,22.251437970368315,22
23.599019267507536,23.874158739802198,23
23.1243228299828,22.70313856399044,23
22.360386115780607,23.08031343870315,23
23.7561176714069,23.875392821946093,24
23.816370960282057,23.957762734075086,24
24.319794069236295,24.047114570233603,24
24.952409548888394,24.689303874152255,25
24.49759511658869,24.854107627278,25
24.983865234754504,25.530378974073965,25
26.039082356441867,26.294821853306917,26
25.850211320438255,25.64451687007489,26
25.71046497133029,25.782432180639272,26
27.63854091973055,26.753583996232685,27
27.251546761120903,26.729121846573893,27
27.279471903862273,27.11548528983176,27
27.953008630702573,27.98777124215937,28
27.80356369137118,28.133821660444625,28
27.863504955897767,27.632318270869824,28
28.616618727704115,29.051776375316635,29
29.47372737692313,29.04799748407203,29
28.964408502167036,29.085747841880764,29
30.391800522512046,30.065814750409157,30
29.87672183074988,30.331886613017968,30
30.128626931538484,30.4607267975988,30
